Spanish,English,Base
espera,wait,esperar espera
mierda,shit,mierda
han,they have,haber
tus,your,tu
sabe,knows,saber
después,after,después
momento,moment,momento
desde,from,desde
fuera,out,fuera ir ser
cosa,stuff,cosa coser
tipo,guy,tipo
mañana,tomorrow,mañana
podemos,can,poder
dije,said,decir
gran,great,grande
necesito,need,necesitar
estado,state,estar estado
podría,could,poder
acuerdo,agreement,acordar acuerdo
papá,dad,papá
tener,have,tener
dice,says,decir
mío,mine,mío
crees,You believe,creer
buena,good,bueno buena
gusta,like,gustar
nuestro,our,nuestro
nuevo,new,nuevo
será,be,ser
haciendo,doing,hacer
días,days,día
nombre,name,nombre
buen,good,bueno
había,there was,haber
ven,come,ver venir
tres,three,tres
menos,less,menos
debe,has to,deber
tenía,had,tener
mal,evil,mal
conmigo,with me,conmigo
madre,mother,madre
hoy,today,hoy
quien,who,quien
sido,been,ser
mamá,mother,mamá
tienen,have,tener
luego,then,luego
todas,all,todo
allí,over there,allí
toda,all,todo
hora,hour,hora
mujer,women,mujer
visto,seen,ver
haces,you do,hacer
importa,It matters,importar
contigo,with you,contigo
ve,go,ver ir
tarde,late,tarde tardar
oye,hey,oír
parte,part,partir parte
haber,to have,haber
hombres,men,hombre
problema,problem,problema
mas,further,mas
saber,know,saber
quería,wanted to,querer
aún,still,aún
veces,times,vez
nuestra,our,nuestro
hacerlo,do it,hacer
cada,each,cada
hizo,did,hacer
veo,I see,ver
tanto,so much,tanto
razón,reason,razón
ustedes,you,usted
idea,idea,idea
esos,those,eso
van,go,ir
quizá,Maybe,quizá
debo,I must,deber
alguna,some,alguno
cierto,TRUE,cierto
ud,You,usted
muerto,dead,muerto morir
unos,some,un
estos,these,este
salir,go out,salir
policía,police,policía
realmente,really,realmente
demasiado,too much,demasiado
familia,family,familia
pueden,they can,poder
cabeza,head,cabeza
hemos,we have,haber
amigos,friends,amigo
chica,girl,chico chica
cariño,dear,cariño
lado,side,lado
allá,there,allá
entre,between,entre
minutos,minutes,minuto
digo,say,decir
algún,some,algún
serio,Serious,serio
cuidado,careful,cuidar cuidado
pasó,passed,pasar
buenas,hello good,bueno
somos,are,ser
amor,love,amor
puerta,door,puerta
ves,you see,ver
vaya,Oh,ir
ah,Ah,ah
suerte,luck,suerte
eh,Hey,eh
rápido,fast,rápido
cuenta,account,contar cuenta
quizás,maybe,quizás
esas,those,ese
pues,well,pues
pasado,past,pasar pasado
pensé,I thought,pensar
todavía,still,todavía
hermano,brother,hermano
debes,you must,deber
casi,almost,casi
forma,shape,forma
aqui,here,aquí
chico,boy,chico
ok,okay,ok
dicho,saying,decir dicho
nueva,new,nuevo nueva
sabía,knew,saber
muchas,many,mucho
dentro,inside,dentro
hice,I did,hacer
contra,against,contra
auto,car,auto
camino,path,camino caminar
ayuda,aid,ayuda ayudar
primera,first,primero primera
hacia,toward,hacia
vi,saw,ver
miedo,fear,miedo
adiós,bye,adiós
primero,first,primero
debería,ought,deber
poder,can,poder
niños,children,niño
sería,I would be,ser
historia,history,historia
hey,Hey,hey
mientras,while,mientras
ciudad,city,ciudad
dijiste,said,decir
espero,wait,esperar
cuánto,how much,cuánto
esposa,wife,esposa esposar
pronto,soon,pronto
chicos,guys,chico
cualquier,any,cualquier
viejo,old,viejo
debemos,must,deber
deja,leaves,dejar
año,year,año
muerte,death,muerte
hablando,talking,hablar
manos,hands,mano
da,gives,dar
loco,crazy,loco
problemas,issues,problema
mano,hand,mano
guerra,war,guerra
semana,week,semana
pasar,pass,pasar
vale,OK,valer vale
cuál,which,cuál
viene,comes,venir
volver,return,volver
toma,take,tomar
caso,case,caso casar
agua,water,agua
haré,I will do,hacer
vete,go away,ir
entiendo,I understand,entender
horas,hours,hora
personas,people,persona
capitán,captain,capitán
adelante,forward,adelante
niño,child,niño
listo,ready,listo
noches,nights,noche
buenos,good,bueno
iba,I was going,ir
juntos,together,junto
dame,give to me,dar
único,only,único
déjame,let me,dejar
cerca,near,cerca cercar
otros,others,otro
sigue,go on,seguir
grande,big,grande
arriba,above,arriba
jefe,boss,jefe
habla,speaks,hablar habla
supongo,i guess,suponer
manera,manner,manera
quieren,They want,querer
feliz,happy,feliz
significa,means,significar
sangre,blood,sangre
fin,end,fin
bajo,low,bajar bajo
llama,calls,llamar llama
venir,come,venir
morir,die,morir
importante,important,importante
hiciste,did,hacer
ojos,eyes,ojo
escucha,listen,escuchar
entrar,get in,entrar
ningún,none,ninguno
corazón,heart,corazón
diablos,Devils,diablo
necesitamos,need,necesitar
atrás,back,atrás
durante,during,durante
dices,You say,decir
nuestros,our,nuestro
persona,person,persona
abajo,below,abajo
dr,Dr.,doctor
hija,daughter,hija
dejar,leave,dejar
necesita,needs,necesitar
llegar,arrive,llegar
hago,do,hacer
señora,lady,señora
haya,is,haber haya
suficiente,enough,suficiente
doctor,doctor,doctor
gustaría,would like,gustar
tierra,land,tierra
cara,expensive,cara
siquiera,even,siquiera
genial,brilliant,genial
cree,Believe,creer
supuesto,supposed,suponer
tomar,take,tomar
equipo,equipment,equipo equipar
justo,fair,justo
juego,game,juego jugar
ninguna,none,ninguno
matar,kill,matar
cinco,five,cinco
dicen,They say,decir
amo,love,amo amar
cuándo,when,cuándo
pequeño,little,pequeño
algunos,some,alguno
conozco,know,conocer
clase,class,clase
maldito,damned,maldito
unas,nails,un
muchos,many,mucho
hubiera,had,haber
segundo,second,segundo
aunque,although,aunque
pueda,I can,poder
dime,tell me,decir
igual,equal,igual
comida,meal,comida comer
ay,Oh,ay
cuerpo,body,cuerpo
encontrar,find,encontrar
fuerte,strong,fuerte
vuelta,lap,vuelta volver
venga,come on,venir
creer,believe,creer
realidad,reality,realidad
saben,They know,saber
puta,bitch,puta
deberías,you should,deber
pregunta,ask,pregunta preguntar
fui,I was,ir ser
cuatro,four,cuatro
sra,mrs,señora
primer,first,primero
trabajar,work,trabajar
e,and,y
hagas,you do,hacer
alto,high,alto
maldita,damned,maldito
comer,eat,comer
número,number,número
dar,give,dar
necesitas,you need,necesitar
oportunidad,chance,oportunidad
punto,spot,punto
misma,same,mismo
última,last,último
afuera,outside,afuera
mujeres,women,mujer
pensar,think,pensar
fueron,were,ir ser
difícil,difficult,difícil
vivir,live,vivir
paso,passed,paso pasar
malo,bad,malo
estabas,You were,estar
vivo,alive,vivir vivo
haga,make,hacer
queda,is left over,quedar
hijos,children,hijo
mayor,elderly,mayor
fiesta,party,fiesta
hacen,do,hacer
medio,half,medio
algunas,some,alguno
basta,Enough,bastar
arma,weapon,arma armar
vino,came,venir vino
meses,months,mes
cuarto,room,cuarto
éste,this,este
escuela,school,escuela
esté,this,estar
dólares,Dollars,dólar
tío,uncle,tío
posible,possible,posible
tuve,I had,tener
fácil,easy,fácil
preocupes,worry,preocupar
luz,light,luz
eran,were,ser
carajo,fuck,carajo
final,final,final
lista,list,lista listo
trata,treats,tratar
armas,weapons,arma armar
hermana,sister,hermana
exactamente,exactly,exactamente
chicas,girls,chica
podía,could,poder
bastante,quite,bastante
seguridad,security,seguridad
pasando,going,pasar
esperando,expecting,esperar
acá,here,acá
teléfono,phone,teléfono
perro,dog,perro
fuego,fire,fuego
murió,died,morir
tampoco,neither,tampoco
sola,alone,solo
estuvo,was,estar
verte,to see you,ver
iré,I will go,ir
tenido,had,tener
culpa,blame,culpa culpar
veras,you will see,veras
adónde,where to,adónde
buscando,searching,buscar
cuanto,how much,cuanto
padres,parents,padre
paz,peace,paz
demonios,demons,demonio
estará,will be,estar
cual,which,cual
perdón,sorry,perdón
asi,So,así
jugar,play,jugar
pensando,thinking,pensar
esperar,wait,esperar
sabemos,we know,saber
recuerdo,memory,recuerdo recordar
par,pair,par
joven,young,joven
seguir,continue,seguir
pueblo,town,pueblo
tenga,have,tener
caballeros,gentlemen,caballero
idiota,moron,idiota
dio,gave,dar
minuto,minute,minuto
bebé,baby,bebé
única,only,único
lejos,far,lejos
nuestras,ours,nuestro
plan,plan,plan
pienso,I think,pensar
sentido,sense,sentido sentir
dormir,sleep,dormir
digas,you say,decir
palabra,word,palabra
correcto,correct,correcto
control,control,control
vemos,we see,ver
entiendes,you understand,entender
país,country,país
seis,six,seis
último,last,último
ésta,this,ésta
diga,Say,decir
podrías,could you,poder
pequeña,small,pequeña
cállate,be quiet,callar
trato,deal,trato tratar
rey,king,rey
sucede,happens,suceder
muchachos,boys,muchacho
jamás,never,jamás
cama,bed,cama
srta,Ms,señorita
ayudar,help,ayudar
acerca,about,acerca acercar
di,gave,dar
cambio,change,cambio cambiar
falta,lack,falta faltar
hospital,hospital,hospital
lleva,carry,llevar
presidente,president,presidente
mil,thousand,mil
gusto,taste,gusto gustar
conoces,you know,conocer
diciendo,saying,decir
os,you,os
ido,gone,ir
general,general,general
extraño,strange,extraño extrañar
semanas,weeks,semana
coche,car,coche
peor,worse,peor bien
mucha,a lot,mucho
disculpe,excuse me,disculpar
diré,I will say,decir
anoche,last night,anoche
perder,lose,perder
vámonos,let's go,ir
nave,ship,nave
cielo,darling,cielo
habrá,there will be,haber
orden,order,orden
segura,safe,seguro
querida,Dear,querida querido querer
niña,little girl,niña
increíble,incredible,increíble
además,besides,además
deben,They must,deber
libro,book,libro
calle,street,calle callar
café,coffee,café
piensas,You think,pensar
hacemos,we make,hacer
especial,special,especial
queremos,we want,querer
irme,Go,ir
perfecto,perfect,perfecto
buscar,look for,buscar
odio,hate,odio odiar
piensa,think,pensar
oficina,office,oficina
hablas,speak,hablar habla
libre,free,libre
agente,agent,agente
york,York,Nueva York jamón york
llamar,call,llamar
mala,bad,malo mala
detrás,behind,detrás
viste,dresses,ver
dile,tell him,decir
grandes,big,grande
recuerdas,remember,recordar
real,real,real
estaban,were,estar
mía,mine,mío
frente,forehead,frente
perdido,lost,perder
llamo,called,llamar
muertos,dead,muerto
millones,millions,millón
asesino,killer,asesino asesinar
sueño,dream,sueño soñar
quisiera,I'd like,querer
habría,there would be,haber
hará,will do,hacer
viaje,journey,viaje viajar
probablemente,probably,probablemente
resto,rest,resto
estaré,I will be,estar
maldición,curse,maldición
lamento,lament,lamento lamentar
muchacho,young guy,muchacho
avión,plane,avión
ropa,clothes,ropa
fuerza,force,fuerza forzar
llamado,called,llamado llamar
oído,ear,oído oír
dado,given,dado dar
encima,on,encima
negro,black,negro
usar,wear,usar
información,information,información
uds,You,ustedes
preguntas,questions,preguntar pregunta
tuvo,had,tener
secreto,secret,secreto
vuelve,comes back,volver
miren,Look,mirar
quieras,You want,querer
haría,would do,hacer
acaba,just,acabar
otras,others,otro
incluso,even,incluso
sientes,you feel,sentir sentar
deberíamos,we should,deber
haz,beam,hacer haz
decirte,tell you,decir
boca,mouth,boca
dolor,pain,dolor
baño,bathroom,baño bañar
adentro,inside,adentro
profesor,teacher,profesor
habitación,room,habitación
daño,damage,daño dañar
tuyo,yours,tuyo
seas,You are,ser
noticias,news,noticia
demás,the rest,demás
querido,darling,querido querer
duro,hard,duro durar
poner,put,poner
prueba,proof,prueba probar
mire,Look,mirar
tonto,silly,tonto
campo,field,campo campar
siendo,being,ser
diez,ten,diez
ése,that,ese
tranquilo,don't worry,tranquilo
asunto,affair,asunto
acabó,just,acabar
quédate,stay,quedar
derecho,right,derecho
placer,pleasure,placer
recuerda,remember,recordar
estuve,I have been,estar
tratando,treating,tratar
ejército,army,ejército
futuro,future,futuro
llevar,carry,llevar
compañía,company,compañía
venido,I come,venir
listos,Ready,listo
haremos,will,hacer
sitio,place,sitio
verlo,see him,ver
puesto,position,puesto poner
atención,attention,atención
sino,but,sino
cambiar,change,cambiar
error,mistake,error
blanco,white,blanco
raro,queer,raro
palabras,words,palabra
llegó,arrive,llegar
sal,salt,sal salir
pase,happens,pasar
mente,mind,mente
sistema,system,sistema
película,movie,película
anda,walk,andar
ello,it,ello
negocio,business,negocio negociar
novia,bride,novia
permiso,permission,permiso
creí,I believed,creer
suena,sounds,sonar
ocurre,occurs,ocurrir
oficial,official,oficial
espere,wait,esperar
aire,air,aire
mató,killed,matar
regresar,go back,regresar
vio,saw,ver
hazlo,do it,hacer
trasero,rear,trasero
grupo,cluster,grupo
entendido,understood,entender
señorita,Miss,señorita
música,music,música
perra,bitch,perra
conoce,known,conocer
empezar,begin,empezar
siente,Feel,sentir sentar
acabo,just,acabar
estúpido,idiot,estúpido
diferente,different,diferente
traje,suit,traer traje
modo,mode,modo
encontré,I found,encontrar
mensaje,message,mensaje
llamada,call,llamada llamar
navidad,Christmas,navidad
eras,ages,ser
pena,grief,pena penar
largo,long,largo largar
entra,enters,entrar
piso,floor,piso pisar
foto,photo,foto
dijeron,They said,decir
médico,doctor,médico
accidente,accident,accidente
fuiste,you were,ir ser
imposible,impossible,imposible
podríamos,we could,poder
línea,line,línea
propia,own,propio
barco,ship,barco
ganar,gain,ganar
normal,normal,normal
segundos,seconds,segundo
vive,lives,vivir
mitad,half,mitad
quiera,want,querer
tras,after,tras
decirle,Tell him,decir
lindo,nice,lindo
funciona,works,funcionar
programa,program,programa
vine,came,venir
abre,opens,abrir
sean,Sean,ser
pagar,pay,pagar
fotos,photos,foto
centro,center,centro centrar
supone,It supposes,suponer
basura,trash,basura
situación,situation,situación
mejores,top,mejor
vienen,they come,venir
encanta,loves,encantar
marido,husband,marido
personal,staff,personal
maestro,teacher,maestro
hambre,hunger,hambre
ataque,stroke,ataque atacar
culo,ass,culo
dale,Go ahead,dar
pie,foot,pie
conseguir,get,conseguir
trabajando,working,trabajar
gracioso,funny,gracioso
dejó,let,dejar
pudo,could,poder
derecha,right,derecha
izquierda,left,izquierda
próxima,next,próximo
pobre,poor,pobre
respuesta,answer,respuesta
tipos,guys,tipo
sentir,feel,sentir
tenías,You had,tener
pude,could,poder
darle,give him,dar
voz,voice,voz
amiga,friend,amiga
gustan,like,gustar
vista,view,vista ver
salvo,except,salvo salvar
loca,crazy,loco
hotel,hotel,hotel
hicieron,they made,hacer
ten,Ten,tener
temo,I fear,temer
señal,sign,señal
pelo,hair,pelo pelar
llevo,he took,llevar
ayer,yesterday,ayer
das,you give,dar
nena,chick,nena
servicio,service,servicio
tren,train,tren
bonito,pretty,bonito
mes,month,mes
tendrá,will have,tener
tendrás,you will have,tener
edad,age,edad
ellas,they,ellas
hermosa,beautiful,hermoso
honor,honor,honor
simplemente,simply,simplemente
llamas,calls,llamar llama
tengas,Have,tener
corre,runs,correr
baja,low,bajo baja
sol,sun,sol
siéntate,Sit down,sentar
dan,give,dar
humano,human,humano
divertido,fun,divertido divertir
sexo,sex,sexo
vuelto,turned,vuelto volver
peligro,danger,peligro peligrar
mesa,table,mesa
siguiente,following,siguiente
hablo,speak,hablar
disculpa,sorry,disculpa disculpar
decirme,Tell me,decir
caja,box,caja
negocios,business,negocio negociar
misión,mission,misión
silencio,silence,silencio
sale,comes out,salir
llegado,arrived,llegar
estaría,It would,estar
regreso,return,regreso regresar
media,half,media medio
estan,are,estar
propio,own,propio
oro,gold,oro orar
enseguida,right away,enseguida
linda,beautiful,lindo
prometo,I promise,prometer
esposo,husband,esposo esposar
norte,north,norte
hubo,was,haber
juro,I swear,jurar
muerta,dead,muerto morir
interesante,interesting,interesante
pensaba,thought,pensar
busca,seeks,buscar busca
terminar,finish,terminar
tendré,I will have,tener
completamente,completely,completamente
cita,appointment,cita citar
siete,seven,siete
cumpleaños,birthday,cumpleaños
abogado,lawyer,abogado
alrededor,around,alrededor
cerebro,brain,cerebro
porqué,because,porqué
llave,key,llave
santo,holy,santo
hermoso,beautiful,hermoso
necesario,necessary,necesario
edificio,building,edificio
irnos,Go,ir
aun,still,aun
tendremos,we will have,tener
vayas,go,ir
doy,give,dar
trae,Bring,traer
salió,he left,salir
ley,law,ley
ahi,there,ahí
verdadero,TRUE,verdadero
pelea,fight,pelea pelear
banco,bank,banco
terrible,terrible,terrible
calma,calm,calma calmar
cena,dinner,cena cenar
daré,I will give,dar
gobierno,government,gobierno
comprar,buy,comprar
creen,They believe,creer crear
sargento,sergeant,sargento
destino,destination,destino
existe,exists,existir
hacía,toward,hacer
novio,boyfriend,novio
sala,hall,sala
través,through,través
regalo,gift,regalo regalar
iglesia,church,iglesia
decía,He said,decir
cualquiera,any,cualquiera
excelente,excellent,excelente
esperen,Wait,esperar
deseo,desire,deseo desear
alma,soul,alma
diablo,Devil,diablo
deje,leave,dejar
cuántos,how many,cuántos
espada,sword,espada
estábamos,We were,estar
carne,meat,carne
maravilloso,marvelous,maravilloso
vidas,lives,vida
sucedió,happened,suceder
oí,I heard,oír
peligroso,dangerous,peligroso
dirección,address,dirección
libertad,freedom,libertad
jesús,Jesus,Jesús
ocurrió,occurred,ocurrir
veré,I will see,ver
sueños,dreams,sueño
pudiera,could,poder
detective,detective,detective
sorpresa,surprise,sorpresa
tuya,yours,tuyo
pies,feet,pie
club,club,club
terminado,finished,terminar
infierno,hell,infierno
creía,I believed,creer
luna,moon,luna
salvar,save,salvar
carta,letter,carta
estés,be,estar
cielos,Heavens,cielo
teniente,lieutenant,teniente
encuentra,finds,encontrar
veamos,let's see,ver
quise,I wanted,querer
escúchame,listen to me,escuchar
necesitan,They need,necesitar
ambos,both,ambos ambo
decisión,decision,decisión
enemigo,enemy,enemigo
hicimos,we did,hacer
dulce,sweet,dulce
pruebas,evidence,prueba probar
querías,You wanted,querer
abuelo,grandfather,abuelo
totalmente,completely,totalmente
mirando,looking,mirar
vayan,go,ir
carrera,career,carrera
